		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.179688	M = 100	N = 8	m = 9	n = 800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
	LAMBDA = 0.179688	M = 100	N = 8	m = 9	n = 800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    1    1    0    0    0    0  8.153212 0.418649 SUCCESS   0
000000011    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS   1
000000101    0    1    0    0    0    0    1    0  8.153212 0.418649 SUCCESS   2
000000111    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS   3
000001001    0    0    0    0    0    0    0    1  4.760566 0.782834 SUCCESS   4
000001011    0    1    0    0    0    0    0    1  8.153212 0.418649 SUCCESS   5
000001101    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS   6
000001111    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS   7
000010001    0    0    1    0    1    0    1    1 14.938505 0.060352 SUCCESS   8
000010011    0    0    0    0    0    1    0    1  8.153212 0.418649 SUCCESS   9
000010101    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  10
000010111    1    0    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  11
000011001    0    1    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  12
000011011    0    0    1    0    0    0    0    0  4.760566 0.782834 SUCCESS  13
000011101    0    0    0    1    0    1    0    0  8.153212 0.418649 SUCCESS  14
000011111    0    0    0    0    1    0    0    0  4.760566 0.782834 SUCCESS  15
000100011    1    0    1    0    1    0    0    1 14.938505 0.060352 SUCCESS  16
