		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010111011    3    1    1    1    0    2    2    2  5.446904 0.708915 SUCCESS  66
010111111    2    3    5    2    2    2    1    2  4.192453 0.839356 SUCCESS  67
011000111    1    4    1    3    1    0    2    3  6.482903 0.593305 SUCCESS  68
011001111    3    3    0    1    2    1    2    2  4.725346 0.786488 SUCCESS  69
011010111    1    2    1    1    0    4    4    2  7.330237 0.501457 SUCCESS  70
011011111    1    2    4    2    1    5    2    3  5.950009 0.652832 SUCCESS  71
011101111    4    1    3    6    2    3    1    3  8.680676 0.369946 SUCCESS  72
011111111    2    3    2    3    1    2    2    1  2.309120 0.970039 SUCCESS  73
100000000    3    2    2    5    4    0    4    5 10.501120 0.231599 SUCCESS  74
100010000    3    0    2    1    2    1    0    0  9.494911 0.302279 SUCCESS  75
100100000    1    7    2    5    3    0    3    1 16.243795 0.039021 SUCCESS  76
100101000    1    3    3    2    0    7    1    6 18.848685 0.015690 SUCCESS  77
100110000    1    1    2    2    1    4    5    5  9.402234 0.309508 SUCCESS  78
100111000    5    1    1    1    2    2    3    1  6.545791 0.586333 SUCCESS  79
101000000    6    0    0    3    6    4    1    3 18.001351 0.021216 SUCCESS  80
101000100    1    1    2    2    0    2    0    4  7.988907 0.434555 SUCCESS  81
101001000    3    6    3    3    1    1    3    2  7.770453 0.456208 SUCCESS  82
101001100    1    2    2    2    2    5    6    4 10.438232 0.235604 SUCCESS  83
101010000    3    4    1    1    4    2    2    2  4.192453 0.839356 SUCCESS  84
101010100    1    0    3    2    5    5    3    5 12.132900 0.145372 SUCCESS  85
101011000    1    1    2    3    3    6    3    2  7.707565 0.462545 SUCCESS  86
101011100    2    3    2    0    1    2    5    2  6.608679 0.579380 SUCCESS  87
101100000    2    2    2    5    0    4    4    3  7.770453 0.456208 SUCCESS  88
101100100    1    2    4    3    2    2    5    3  5.228451 0.732903 SUCCESS  89
101101000    3    1    4    1    5    3    2    1  6.797343 0.558648 SUCCESS  90
101101100    3    6    5    1    2    1    3    2 10.375344 0.239663 SUCCESS  91
101110000    2    4    2    4    1    3    3    2  3.470895 0.901437 SUCCESS  92
101110100    2    2    4    3    5    4    1    4  7.111783 0.524622 SUCCESS  93
101111000    3    2    2    3    2    2    2    2  0.740228 0.999417 SUCCESS  94
101111100    4    2    2    1    1    3    1    1  4.788234 0.779952 SUCCESS  95
110000000    3    5    2    4    0    1    3    2  7.644677 0.468925 SUCCESS  96
110000010    2    1    5    3    2    2    0    3  6.671567 0.572447 SUCCESS  97
110000100    1    1    2    3    0    5    2    3  7.456013 0.488323 SUCCESS  98
110001000    3    2    2    0    7    1    0    0 17.498246 0.025319 SUCCESS  99
110001010    3    1    3    4    3    5    3    3  5.417115 0.712205 SUCCESS 100
110010000    2    3    2    4    5    0    5    1 10.312456 0.243777 SUCCESS 101
110010010    1    2    4    0    2    2    1    2  5.572680 0.694975 SUCCESS 102
110010100    3    2    2    1    1    5    4    5  8.680676 0.369946 SUCCESS 103
110011000    2    5    2    3    1    3    4    3  5.291339 0.726032 SUCCESS 104
110011010    2    1    2    2    1    4    2    3  3.219342 0.919848 SUCCESS 105
110100000    5    2    2    2    7    7    2    3 20.983570 0.007191 FAILURE 106
110100010    3    0    2    1    1    3    3    2  4.788234 0.779952 SUCCESS 107
110100100    4    5    2    3    1    2    1    2  5.950009 0.652832 SUCCESS 108
110101000    4    7    3    1    1    3    2    2 12.070012 0.148107 SUCCESS 109
110101010    1    0    4    4    2    3    6    5 13.890457 0.084666 SUCCESS 110
110101100    2    2    2    2    4    5    2    0  6.734455 0.565535 SUCCESS 111
110110000    1    2    1    5    1    1    3    3  6.608679 0.579380 SUCCESS 112
110110010    1    2    3    2    3    2    3    4  2.560672 0.958842 SUCCESS 113
110110100    2    1    3    3    4    1    3    2  3.345118 0.910872 SUCCESS 114
110111000    1    4    2    2    2    4    3    3  3.470895 0.901437 SUCCESS 115
110111010    3    1    4    2    2    5    3    6 10.564008 0.227647 SUCCESS 116
110111100    1    1    3    4    2    1    1    2  4.788234 0.779952 SUCCESS 117
111000000    4    3    5    5    4    0    6    3 15.899565 0.043840 SUCCESS 118
111000010    2    2    2    2    0    0    1    3  6.294238 0.614310 SUCCESS 119
111000100    2    2    1    2    3    1    3    0  4.725346 0.786488 SUCCESS 120
111000110    2    1    1    4    1    3    1    2  4.788234 0.779952 SUCCESS 121
111001000    3    2    1    4    4    0    4    0  9.213569 0.324601 SUCCESS 122
111001010    4    1    1    1    0    3    3    3  6.545791 0.586333 SUCCESS 123
111001100    4    3    2    3    1    2    3    4  3.533783 0.896552 SUCCESS 124
111010000    4    3    2    3    5    6    1    3 10.626896 0.223749 SUCCESS 125
111010010    2    7    3    3    4    2    1    3 11.348454 0.182726 SUCCESS 126
111010100    3    7    4    1    2    3    1    0 14.486238 0.069940 SUCCESS 127
111010110    3    0    4    2    2    5    2    1  7.581789 0.475349 SUCCESS 128
111011000    3    4    1    4    2    1    1    3  5.039787 0.753315 SUCCESS 129
111011010    2    0    2    4    2    1    1    2  5.572680 0.694975 SUCCESS 130
111011100    3    2    1    1    1    4    0    4  7.393125 0.494871 SUCCESS 131
111100000    0    1    6    5    1    1    4    4 15.396461 0.051880 SUCCESS 132
111100010    2    2    2    4    6    1    2    1  8.492011 0.386941 SUCCESS 133
111100100    1    1    1    1    2    1    3    0  7.015796 0.534929 SUCCESS 134
111100110    4    2    4    1    2    2    2    2  3.345118 0.910872 SUCCESS 135
