		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.126953	M = 125001	N = 8	m = 9	n = 1000010
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111010100  251  252  229  233  239  258  272  274  9.955716 0.268148 SUCCESS 127
111010110  266  246  236  261  237  254  244  257  4.858099 0.772630 SUCCESS 128
111011000  231  255  263  264  218  243  263  246  8.834480 0.356451 SUCCESS 129
111011010  254  227  268  229  238  250  226  258  7.552384 0.478368 SUCCESS 130
111011100  234  266  243  221  246  223  242  238  6.816881 0.556513 SUCCESS 131
111100000  262  249  245  244  227  252  232  251  3.785816 0.875912 SUCCESS 132
111100010  240  239  242  248  207  221  279  279 18.676651 0.016688 SUCCESS 133
111100100  239  251  271  269  270  240  251  255  9.601328 0.294129 SUCCESS 134
111100110  254  217  244  230  251  285  253  251 12.187745 0.143022 SUCCESS 135
111101000  232  244  218  241  236  229  241  247  4.882211 0.770088 SUCCESS 136
111101010  228  198  231  220  225  265  251  244 16.908335 0.031078 SUCCESS 137
111101100  220  262  271  263  240  250  269  237 11.442709 0.177854 SUCCESS 138
111101110  248  257  255  230  236  237  243  266  4.639333 0.795337 SUCCESS 139
111110000  270  246  251  260  221  241  231  249  7.256565 0.509221 SUCCESS 140
111110010  256  270  246  266  274  251  262  242 10.828546 0.211605 SUCCESS 141
111110100  227  253  215  258  225  221  219  233 13.001279 0.111806 SUCCESS 142
111110110  216  256  241  265  237  242  259  253  7.341297 0.500296 SUCCESS 143
111111000  254  262  248  227  228  238  244  236  4.613433 0.797980 SUCCESS 144
111111010  244  244  232  239  227  243  231  223  4.603735 0.798967 SUCCESS 145
111111100  267  248  244  218  254  240  247  234  6.126723 0.633039 SUCCESS 146
111111110  236  265  243  241  269  229  263  222  9.346302 0.313930 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.126953	M = 125001	N = 8	m = 9	n = 1000010
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  238  225  232  261  257  249  235  5.761230 0.673957 SUCCESS   0
000000011  245  237  224  241  259  244  255  233  3.938732 0.862609 SUCCESS   1
000000101  253  255  242  256  248  266  251  244  3.741513 0.879660 SUCCESS   2
000000111  251  252  229  255  246  253  246  245  2.299567 0.970423 SUCCESS   3
000001001  258  245  252  262  254  256  243  229  4.419640 0.817418 SUCCESS   4
000001011  265  235  246  257  266  258  241  242  5.818607 0.667542 SUCCESS   5
000001101  254  242  234  221  272  203  253  229 14.893053 0.061259 SUCCESS   6
000001111  263  258  250  237  261  255  234  232  5.450351 0.708534 SUCCESS   7
000010001  271  240  222  256  233  255  236  243  7.113793 0.524407 SUCCESS   8
000010011  246  239  241  259  223  246  238  214  7.015060 0.535009 SUCCESS   9
000010101  249  251  227  263  268  226  277  224 13.153698 0.106670 SUCCESS  10
000010111  264  268  235  238  254  256  226  224  8.718271 0.366617 SUCCESS  11
000011001  233  243  257  232  224  272  247  264  8.570932 0.379773 SUCCESS  12
000011011  254  254  239  224  264  205  227  236 12.335266 0.136860 SUCCESS  13
000011101  255  227  219  242  244  268  252  267  9.331375 0.315117 SUCCESS  14
000011111  264  234  238  251  259  265  230  241  6.136818 0.631909 SUCCESS  15
000100011  246  235  251  241  229  256  228  248  3.341432 0.911142 SUCCESS  16
000100101  247  236  226  231  281  263  230  240 10.623880 0.223935 SUCCESS  17
000100111  212  259  255  260  216  233  244  223 12.645616 0.124639 SUCCESS  18
000101001  211  239  223  242  239  245  218  249  9.778009 0.280954 SUCCESS  19
000101011  265  238  255  247  249  251  274  232  7.245278 0.510415 SUCCESS  20
000101101  260  235  251  218  217  241  249  267  9.988649 0.265823 SUCCESS  21
000101111  239  253  242  235  237  254  241  217  4.604215 0.798918 SUCCESS  22
000110011  243  248  250  236  238  253  259  254  2.337631 0.968873 SUCCESS  23
000110101  255  233  237  239  224  227  265  249  6.257380 0.618426 SUCCESS  24
000110111  242  262  259  232  262  232  223  252  7.062821 0.529870 SUCCESS  25
000111001  260  231  241  252  201  260  234  268 13.897857 0.084467 SUCCESS  26
000111011  250  239  217  264  263  252  237  235  7.388099 0.495396 SUCCESS  27
000111101  250  273  295  251  261  234  223  238 18.533565 0.017563 SUCCESS  28
000111111  237  247  244  274  265  251  252  262  7.692955 0.464023 SUCCESS  29
001000011  277  227  216  241  271  246  246  271 15.362939 0.052461 SUCCESS  30
001000101  262  233  204  220  245  234  228  245 12.708620 0.122276 SUCCESS  31
